"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","68934ca40f3f20b5b2ed9de0","68934ca40f3f20b5b2ed9bc7","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bc7","68934ca40f3f20b5b2ed9bc8","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bc8","68934ca40f3f20b5b2ed9bc9","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bc7","68934ca40f3f20b5b2ed9bca","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bca","68934ca40f3f20b5b2ed9bcb","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bc7","68934ca40f3f20b5b2ed9bcc","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bcc","68934ca40f3f20b5b2ed9bcd","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bc7","68934ca40f3f20b5b2ed9bce","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bce","68934ca40f3f20b5b2ed9bcf","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bc7","68934ca40f3f20b5b2ed9bd0","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bd0","68934ca40f3f20b5b2ed9bd1","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9de0","68934ca40f3f20b5b2ed9bd2","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bd2","68934ca40f3f20b5b2ed9bd3","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bd3","68934ca40f3f20b5b2ed9bd4","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bd3","68934ca40f3f20b5b2ed9bd5","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bd3","68934ca40f3f20b5b2ed9bd6","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bd3","68934ca40f3f20b5b2ed9bd7","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bd3","68934ca40f3f20b5b2ed9bd8","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bd3","68934ca40f3f20b5b2ed9bd9","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bd2","68934ca40f3f20b5b2ed9bda","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bda","68934ca40f3f20b5b2ed9bdb","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9de0","68934ca40f3f20b5b2ed9bdc","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bdc","68934ca40f3f20b5b2ed9bdd","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bdd","68934ca40f3f20b5b2ed9bde","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bdc","68934ca40f3f20b5b2ed9bdf","skillgroup","2025-08-06T12:38:18.314Z","2025-08-06T12:38:18.314Z"
"skillgroup","68934ca40f3f20b5b2ed9bdf","68934ca40f3f20b5b2ed9be0","skillgroup","2025-08-06T12:38:18.315Z","2025-08-06T12:38:18.315Z"
"skillgroup","68934ca40f3f20b5b2ed9bdf","68934ca40f3f20b5b2ed9be1","skillgroup","2025-08-06T12:38:18.315Z","2025-08-06T12:38:18.315Z"
"skillgroup","68934ca40f3f20b5b2ed9bdf","68934ca40f3f20b5b2ed9be2","skillgroup","2025-08-06T12:38:18.315Z","2025-08-06T12:38:18.315Z"
